Date,Open,High,Low,Close,Volume,Change,Name
2023-03-13,59900.0,60200.0,59300.0,60000.0,12779724.0,0.0084033613445377,SamSung
2023-03-14,59400.0,59500.0,59000.0,59000.0,12147346.0,-0.0166666666666667,SamSung
2023-03-15,60000.0,60300.0,59600.0,59800.0,10482149.0,0.0135593220338983,SamSung
2023-03-16,59200.0,60200.0,59100.0,59900.0,10611939.0,0.0016722408026756,SamSung
2023-03-17,60800.0,61300.0,60600.0,61300.0,14090110.0,0.0233722871452419,SamSung
2023-03-20,61100.0,61200.0,60200.0,60200.0,9618009.0,-0.0179445350734094,SamSung
2023-03-21,60500.0,60700.0,60100.0,60300.0,8318514.0,0.0016611295681063,SamSung
2023-03-22,61000.0,61200.0,60500.0,61100.0,8978591.0,0.0132669983416251,SamSung
2023-03-23,60600.0,62300.0,60600.0,62300.0,15381057.0,0.0196399345335516,SamSung
2023-03-24,62700.0,63300.0,62300.0,63000.0,18278602.0,0.0112359550561798,SamSung
2023-03-27,62600.0,62800.0,62000.0,62100.0,11039331.0,-0.0142857142857142,SamSung
2023-03-28,62400.0,62900.0,62100.0,62900.0,11614118.0,0.0128824476650564,SamSung
2023-03-29,62500.0,62700.0,62200.0,62700.0,11216008.0,-0.0031796502384737,SamSung
2023-03-30,63700.0,63700.0,63100.0,63200.0,15684377.0,0.0079744816586921,SamSung
2023-03-31,64000.0,64000.0,63700.0,64000.0,14094479.0,0.0126582278481013,SamSung
2023-04-03,64000.0,64000.0,63000.0,63100.0,11973133.0,-0.0140624999999999,SamSung
2023-04-04,63400.0,63800.0,62800.0,63600.0,11120514.0,0.0079239302694136,SamSung
2023-04-05,63700.0,64000.0,63400.0,63900.0,9176149.0,0.0047169811320755,SamSung
2023-04-06,63500.0,63600.0,62300.0,62300.0,14992747.0,-0.0250391236306729,SamSung
2023-04-07,63800.0,65200.0,63800.0,65000.0,27476120.0,0.043338683788122,SamSung
2023-04-10,64800.0,66300.0,64700.0,65700.0,18777166.0,0.0107692307692308,SamSung
2023-04-11,66200.0,66200.0,65400.0,65900.0,16323183.0,0.0030441400304415,SamSung
2023-04-12,65800.0,66200.0,65300.0,66000.0,15021313.0,0.0015174506828528,SamSung
2023-04-13,65600.0,66100.0,65400.0,66100.0,15091022.0,0.0015151515151514,SamSung
2023-04-14,66600.0,66600.0,65000.0,65100.0,16176490.0,-0.0151285930408472,SamSung
2023-04-17,65000.0,65600.0,64700.0,65300.0,13486618.0,0.0030721966205837,SamSung
2023-04-18,65900.0,66000.0,64800.0,65600.0,14802060.0,0.0045941807044409,SamSung
2023-04-19,65500.0,65800.0,65300.0,65500.0,10255985.0,-0.0015243902439023,SamSung
2023-04-20,65100.0,65300.0,64600.0,65300.0,9501169.0,-0.0030534351145038,SamSung
2023-04-21,65800.0,65900.0,65400.0,65700.0,10538622.0,0.006125574272588,SamSung
2023-04-24,65300.0,65700.0,64800.0,65200.0,12986581.0,-0.0076103500761035,SamSung
2023-04-25,65300.0,65400.0,63400.0,63600.0,16193271.0,-0.0245398773006134,SamSung
2023-04-26,63600.0,64300.0,63300.0,64100.0,12664541.0,0.0078616352201257,SamSung
2023-04-27,64100.0,65000.0,63300.0,64600.0,14779601.0,0.0078003120124805,SamSung
2023-04-28,65200.0,65900.0,65000.0,65500.0,19699481.0,0.0139318885448915,SamSung
2023-05-01,65200.0,65900.0,65000.0,65500.0,19699481.0,0.0139318885448915,SamSung
2023-05-02,66000.0,66300.0,65100.0,65700.0,14396948.0,0.0030534351145037,SamSung
2023-05-03,65100.0,65600.0,64900.0,65400.0,8876749.0,-0.0045662100456621,SamSung
2023-05-04,65600.0,65700.0,64700.0,65100.0,9791064.0,-0.0045871559633027,SamSung
2023-05-05,65600.0,65700.0,64700.0,65100.0,9791064.0,-0.0045871559633027,SamSung
2023-05-08,66300.0,66300.0,65400.0,65900.0,9405365.0,0.0122887864823348,SamSung
2023-05-09,65800.0,65800.0,65100.0,65300.0,9366861.0,-0.0091047040971168,SamSung
2023-05-10,65500.0,65500.0,64300.0,64600.0,13057727.0,-0.0107197549770291,SamSung
2023-05-11,64700.0,65100.0,64200.0,64200.0,11648905.0,-0.0061919504643962,SamSung
2023-05-12,63700.0,64600.0,63600.0,64100.0,8693913.0,-0.0015576323987538,SamSung
2023-05-15,64100.0,64600.0,63900.0,64500.0,8172021.0,0.0062402496099844,SamSung
2023-05-16,65800.0,65900.0,65300.0,65400.0,12334657.0,0.013953488372093,SamSung
2023-05-17,65900.0,65900.0,64800.0,65000.0,10745504.0,-0.0061162079510703,SamSung
2023-05-18,66000.0,66200.0,65700.0,66200.0,14431704.0,0.0184615384615385,SamSung
2023-05-19,67800.0,68400.0,67500.0,68400.0,20349345.0,0.0332326283987916,SamSung
2023-05-22,68400.0,69000.0,68000.0,68200.0,11626484.0,-0.0029239766081871,SamSung
